"TEMP","Ozone","COUNTY"
70.2,0.062,"Cobb"
71,0.071,"Cobb"
70.7,0.05,"Cobb"
68.9,0.028,"Cobb"
58.2,0.032,"Cobb"
47.3,0.028,"Cobb"
44.8,0.028,"Cobb"
48.6,0.032,"Cobb"
53.9,0.033,"Cobb"
58.5,0.045,"Cobb"
60.1,0.044,"Cobb"
60.4,0.063,"Cobb"
62.1,0.061,"Cobb"
64.9,0.054,"Cobb"
66.7,0.054,"Cobb"
67.9,0.047,"Cobb"
63.7,0.04,"Cobb"
65.5,0.04,"Cobb"
65.7,0.046,"Cobb"
67.2,0.05,"Cobb"
67.6,0.065,"Cobb"
65.6,0.058,"Cobb"
67.4,0.052,"Cobb"
66.7,0.055,"Cobb"
67.3,0.063,"Cobb"
68.6,0.061,"Cobb"
66.4,0.044,"Cobb"
65.8,0.037,"Cobb"
68.1,0.047,"Cobb"
58.7,0.034,"DeKalb"
57.7,0.029,"DeKalb"
55.9,0.034,"DeKalb"
54.5,0.018,"DeKalb"
53.7,0.035,"DeKalb"
59.4,0.036,"DeKalb"
63.1,0.063,"DeKalb"
66,0.072,"DeKalb"
64.5,0.033,"DeKalb"
65.8,0.018,"DeKalb"
62.2,0.022,"DeKalb"
43.4,0.035,"DeKalb"
44,0.025,"DeKalb"
50.6,0.045,"DeKalb"
61.3,0.032,"DeKalb"
59.8,0.02,"DeKalb"
47.8,0.029,"DeKalb"
46.7,0.03,"DeKalb"
55,0.032,"DeKalb"
53.3,0.023,"DeKalb"
60.5,0.038,"DeKalb"
60.5,0.041,"DeKalb"
61.1,0.044,"DeKalb"
64.8,0.047,"DeKalb"
66.4,0.046,"DeKalb"
58.3,0.012,"DeKalb"
56,0.048,"DeKalb"
54.7,0.015,"DeKalb"
55.5,0.032,"DeKalb"
62.8,0.032,"DeKalb"
53.5,0.039,"DeKalb"
47.2,0.048,"DeKalb"
58.7,0.056,"DeKalb"
63,0.047,"DeKalb"
57.8,0.036,"DeKalb"
43.9,0.041,"DeKalb"
55.1,0.05,"DeKalb"
61.6,0.056,"DeKalb"
63.7,0.026,"DeKalb"
56.4,0.019,"DeKalb"
46.2,0.015,"DeKalb"
56.2,0.025,"DeKalb"
64,0.047,"DeKalb"
66.9,0.046,"DeKalb"
56.8,0.035,"DeKalb"
61.5,0.045,"DeKalb"
68.9,0.063,"DeKalb"
63.6,0.037,"DeKalb"
54.2,0.047,"DeKalb"
57.7,0.043,"DeKalb"
58.2,0.03,"DeKalb"
56.4,0.023,"DeKalb"
56.7,0.041,"DeKalb"
60.4,0.065,"DeKalb"
59.1,0.044,"DeKalb"
60,0.066,"DeKalb"
62.3,0.078,"DeKalb"
66.6,0.071,"DeKalb"
69.4,0.065,"DeKalb"
71.4,0.06,"DeKalb"
68.2,0.055,"DeKalb"
70.1,0.058,"DeKalb"
71.7,0.054,"DeKalb"
73.4,0.061,"DeKalb"
73.7,0.056,"DeKalb"
73.9,0.055,"DeKalb"
73.3,0.044,"DeKalb"
72.2,0.058,"DeKalb"
76.3,0.043,"DeKalb"
77.8,0.054,"DeKalb"
71.4,0.069,"DeKalb"
65.7,0.066,"DeKalb"
68.2,0.075,"DeKalb"
72.2,0.066,"DeKalb"
76.8,0.067,"DeKalb"
76.5,0.052,"DeKalb"
75.8,0.052,"DeKalb"
72.2,0.041,"DeKalb"
69.2,0.055,"DeKalb"
72,0.051,"DeKalb"
78.7,0.045,"DeKalb"
79.5,0.04,"DeKalb"
74.7,0.039,"DeKalb"
78.8,0.036,"DeKalb"
76.3,0.048,"DeKalb"
69.2,0.045,"DeKalb"
67.6,0.064,"DeKalb"
69.7,0.076,"DeKalb"
75.4,0.106,"DeKalb"
79.2,0.081,"DeKalb"
80,0.085,"DeKalb"
75.8,0.036,"DeKalb"
71.7,0.019,"DeKalb"
67.4,0.045,"DeKalb"
65.6,0.067,"DeKalb"
70.3,0.071,"DeKalb"
74.7,0.09,"DeKalb"
78,0.074,"DeKalb"
79.1,0.068,"DeKalb"
80.7,0.064,"DeKalb"
81.2,0.048,"DeKalb"
81.5,0.05,"DeKalb"
81,0.038,"DeKalb"
75.3,0.028,"DeKalb"
74.4,0.031,"DeKalb"
79.8,0.047,"DeKalb"
80,0.043,"DeKalb"
79.8,0.046,"DeKalb"
80.8,0.061,"DeKalb"
81.4,0.04,"DeKalb"
81.6,0.075,"DeKalb"
83.1,0.074,"DeKalb"
80.6,0.046,"DeKalb"
78,0.061,"DeKalb"
75.7,0.053,"DeKalb"
77.6,0.026,"DeKalb"
74.8,0.017,"DeKalb"
74.5,0.073,"DeKalb"
78,0.075,"DeKalb"
78.7,0.062,"DeKalb"
81,0.077,"DeKalb"
81.8,0.071,"DeKalb"
83.7,0.055,"DeKalb"
85.7,0.085,"DeKalb"
83.8,0.079,"DeKalb"
81.6,0.06,"DeKalb"
82.5,0.062,"DeKalb"
83.5,0.075,"DeKalb"
80.5,0.072,"DeKalb"
79.4,0.065,"DeKalb"
79,0.089,"DeKalb"
84.7,0.079,"DeKalb"
83.4,0.065,"DeKalb"
82.5,0.081,"DeKalb"
81,0.078,"DeKalb"
81.9,0.111,"DeKalb"
86.6,0.076,"DeKalb"
85.7,0.078,"DeKalb"
78.3,0.085,"DeKalb"
82.7,0.091,"DeKalb"
78.1,0.051,"DeKalb"
72.8,0.069,"DeKalb"
71.5,0.032,"DeKalb"
72.5,0.069,"DeKalb"
77.7,0.078,"DeKalb"
79,0.107,"DeKalb"
76.1,0.068,"DeKalb"
77.2,0.057,"DeKalb"
74.6,0.037,"DeKalb"
74.8,0.036,"DeKalb"
74.1,0.029,"DeKalb"
75.8,0.043,"DeKalb"
78.1,0.055,"DeKalb"
77.7,0.085,"DeKalb"
82.2,0.066,"DeKalb"
83.2,0.045,"DeKalb"
82.9,0.057,"DeKalb"
84.3,0.061,"DeKalb"
82.3,0.11,"DeKalb"
79.2,0.063,"DeKalb"
77.7,0.066,"DeKalb"
76.1,0.071,"DeKalb"
78.2,0.087,"DeKalb"
81.5,0.081,"DeKalb"
84,0.091,"DeKalb"
87.4,0.135,"DeKalb"
89.6,0.08,"DeKalb"
86,0.103,"DeKalb"
80.9,0.061,"DeKalb"
72.7,0.046,"DeKalb"
72.7,0.067,"DeKalb"
76.5,0.087,"DeKalb"
80.5,0.079,"DeKalb"
77.4,0.062,"DeKalb"
77.9,0.083,"DeKalb"
74.3,0.038,"DeKalb"
76.4,0.073,"DeKalb"
79.2,0.072,"DeKalb"
76.9,0.061,"DeKalb"
73.3,0.026,"DeKalb"
72.9,0.034,"DeKalb"
74.2,0.038,"DeKalb"
74.3,0.035,"DeKalb"
76,0.052,"DeKalb"
74.4,0.036,"DeKalb"
64.4,0.018,"DeKalb"
61.6,0.019,"DeKalb"
68.1,0.022,"DeKalb"
73.1,0.036,"DeKalb"
73.2,0.039,"DeKalb"
75.1,0.043,"DeKalb"
75.6,0.069,"DeKalb"
77.1,0.055,"DeKalb"
77.2,0.056,"DeKalb"
75.4,0.05,"DeKalb"
65.1,0.051,"DeKalb"
62.5,0.044,"DeKalb"
65.5,0.024,"DeKalb"
69.9,0.057,"DeKalb"
75.1,0.033,"DeKalb"
73.9,0.007,"DeKalb"
70.9,0.008,"DeKalb"
71.7,0.023,"DeKalb"
76.2,0.033,"DeKalb"
76,0.021,"DeKalb"
58.9,0.023,"DeKalb"
58.2,0.031,"DeKalb"
63.4,0.043,"DeKalb"
65.1,0.05,"DeKalb"
64.7,0.041,"DeKalb"
67,0.037,"DeKalb"
